INST_FORMAT,SHIFT,N_IB,VWR,WORD,CONF,TEST_INSTR,CU,DLB_MOV,DLB_SA,DLB_PM,ID_MOV,ID_SA,ID_PM,IU,ITT_MOV,ITT_SA,ITT_PM,MS,PCU,IB,CSDRF,Internal,Switching,Leakage,Total
base,7,128,16384,768,base_S7_IB128_VWR16384_WORD768,VMV,3.31e-04,8.46e-07,0.000,2.50e-08,3.79e-05,4.70e-07,1.43e-06,4.80e-06,3.60e-06,5.38e-07,3.99e-07,1.54e-04,3.88e-05,6.59e-04,5.00e-04,3.525e-04,3.841e-05,1.098e-03,1.489e-03
base,7,128,16384,768,base_S7_IB128_VWR16384_WORD768,SHIFT,3.63e-04,7.46e-07,0.000,4.53e-08,3.69e-05,5.91e-06,1.51e-06,5.07e-06,4.44e-06,1.25e-06,1.32e-06,1.54e-04,3.88e-05,6.98e-04,5.00e-04,3.861e-04,5.530e-05,1.121e-03,1.562e-03
base,7,128,16384,768,base_S7_IB128_VWR16384_WORD768,ADD,3.67e-04,8.05e-07,0.000,2.50e-08,3.79e-05,6.23e-06,1.43e-06,5.08e-06,5.32e-06,1.87e-06,8.57e-07,1.54e-04,3.88e-05,7.00e-04,5.01e-04,3.885e-04,5.702e-05,1.122e-03,1.567e-03
base,7,128,16384,768,base_S7_IB128_VWR16384_WORD768,MUL,3.58e-04,2.74e-07,0.000,1.34e-07,2.51e-05,3.65e-06,5.70e-06,4.84e-06,1.82e-06,3.48e-07,1.06e-06,2.31e-04,2.31e-05,6.74e-04,5.22e-04,3.511e-04,6.091e-05,1.141e-03,1.553e-03
base,7,128,16384,768,base_S7_IB128_VWR16384_WORD768,PACK,3.83e-04,1.26e-06,0.000,3.62e-07,3.70e-05,4.70e-07,3.21e-05,5.02e-06,5.90e-06,7.78e-07,2.04e-06,1.54e-04,3.88e-05,6.97e-04,5.12e-04,3.953e-04,7.742e-05,1.119e-03,1.592e-03
base,7,128,16384,768,base_S7_IB128_VWR16384_WORD768,EXIT,2.74e-04,7.48e-08,0.000,2.50e-08,1.22e-05,4.70e-07,1.43e-06,4.63e-06,5.24e-07,9.38e-08,1.67e-07,1.54e-04,3.27e-05,6.21e-04,4.99e-04,3.108e-04,4.477e-06,1.080e-03,1.395e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,IDLE,2.27e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.79e-06,4.24e-06,5.35e-07,1.25e-07,1.92e-07,1.52e-04,1.72e-05,5.93e-04,4.99e-04,2.690e-04,1.856e-07,1.050e-03,1.319e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,WRF_CSDLEN_LOOP,2.43e-04,7.48e-08,0.000,2.49e-08,1.20e-05,4.70e-07,1.79e-06,6.18e-06,5.35e-07,1.25e-07,1.92e-07,1.56e-04,2.73e-05,5.93e-04,4.99e-04,2.812e-04,3.440e-06,1.050e-03,1.335e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,WRF_IB,3.48e-04,7.48e-08,0.000,2.49e-08,1.32e-05,4.70e-07,1.79e-06,1.23e-04,5.35e-07,1.25e-07,1.92e-07,1.52e-04,1.72e-05,1.79e-03,9.91e-04,1.661e-03,1.868e-04,1.293e-03,3.141e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,WRF_CSD,2.67e-04,7.48e-08,0.000,2.49e-08,1.31e-05,4.70e-07,1.79e-06,4.37e-05,5.35e-07,1.25e-07,1.92e-07,1.51e-04,1.72e-05,9.15e-04,7.29e-04,7.564e-04,6.537e-05,1.098e-03,1.919e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,NOP,3.06e-04,4.13e-07,0.000,2.50e-08,3.56e-05,4.70e-07,1.79e-06,4.21e-06,1.89e-06,2.99e-07,3.11e-07,1.52e-04,3.89e-05,6.08e-04,4.99e-04,3.308e-04,2.684e-05,1.056e-03,1.414e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,RLB,3.03e-04,3.62e-07,0.000,3.56e-07,2.65e-05,4.70e-07,4.95e-06,3.59e-06,4.52e-06,5.98e-07,1.77e-06,1.52e-04,3.19e-05,6.21e-04,4.99e-04,3.213e-04,3.376e-05,1.069e-03,1.424e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,WLB,3.29e-04,1.03e-06,0.000,2.50e-08,3.73e-05,4.70e-07,1.79e-06,3.78e-06,4.83e-06,4.94e-07,4.45e-07,1.52e-04,4.17e-05,6.32e-04,4.99e-04,3.495e-04,4.113e-05,1.069e-03,1.460e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,VMV,3.22e-04,8.08e-07,0.000,2.50e-08,3.60e-05,4.70e-07,1.79e-06,4.31e-06,3.30e-06,4.88e-07,3.69e-07,1.52e-04,3.92e-05,6.27e-04,5.00e-04,3.464e-04,3.584e-05,1.067e-03,1.449e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,SHIFT,3.58e-04,6.92e-07,0.000,8.70e-08,3.69e-05,5.87e-06,2.43e-06,4.51e-06,4.36e-06,1.20e-06,1.30e-06,1.52e-04,4.03e-05,6.64e-04,5.00e-04,3.801e-04,5.433e-05,1.088e-03,1.522e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,ADD,3.60e-04,8.09e-07,0.000,4.57e-08,3.91e-05,5.84e-06,1.84e-06,4.53e-06,5.04e-06,1.82e-06,8.92e-07,1.52e-04,4.01e-05,6.65e-04,5.00e-04,3.819e-04,5.513e-05,1.089e-03,1.526e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,MUL,3.54e-04,2.89e-07,0.000,1.36e-07,2.50e-05,3.71e-06,6.87e-06,4.13e-06,1.83e-06,3.48e-07,1.05e-06,2.28e-04,2.31e-05,6.42e-04,5.21e-04,3.476e-04,6.132e-05,1.109e-03,1.518e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,PACK,3.81e-04,1.28e-06,0.000,3.69e-07,3.78e-05,4.70e-07,3.31e-05,4.50e-06,5.84e-06,7.48e-07,2.03e-06,1.52e-04,3.92e-05,6.67e-04,5.12e-04,3.937e-04,7.777e-05,1.089e-03,1.560e-03
base,7,128,16384,1536,base_S7_IB128_VWR16384_WORD1536,EXIT,2.70e-04,7.48e-08,0.000,2.50e-08,1.22e-05,4.70e-07,1.79e-06,4.22e-06,5.24e-07,9.38e-08,1.67e-07,1.52e-04,3.27e-05,5.93e-04,4.99e-04,3.074e-04,4.283e-06,1.050e-03,1.361e-03
