INST_FORMAT,SHIFT,N_IB,VWR,WORD,CONF,TEST_INSTR,CU,DLB_MOV,DLB_SA,DLB_PM,ID_MOV,ID_SA,ID_PM,IU,ITT_MOV,ITT_SA,ITT_PM,MS,PCU,IB,CSDRF,Internal,Switching,Leakage,Total
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,WRF_CSDLEN_LOOP,2.38e-04,7.48e-08,0.000,2.49e-08,1.20e-05,4.70e-07,1.43e-06,4.68e-06,5.35e-07,1.25e-07,1.92e-07,1.54e-04,2.67e-05,1.38e-04,1.26e-04,1.844e-04,3.384e-06,3.140e-04,5.017e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,WRF_IB,2.70e-04,7.48e-08,0.000,2.49e-08,1.33e-05,4.70e-07,1.43e-06,4.71e-05,5.35e-07,1.25e-07,1.92e-07,1.50e-04,1.70e-05,4.11e-04,2.37e-04,5.041e-04,4.574e-05,3.681e-04,9.180e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,WRF_CSD,2.40e-04,7.48e-08,0.000,2.49e-08,1.32e-05,4.70e-07,1.43e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.50e-04,1.70e-05,2.13e-04,2.29e-04,3.345e-04,2.208e-05,3.261e-04,6.827e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,NOP,2.88e-04,2.63e-07,0.000,2.50e-08,2.71e-05,4.70e-07,1.43e-06,2.52e-06,1.31e-06,2.17e-07,2.56e-07,1.50e-04,3.91e-05,1.50e-04,1.26e-04,2.249e-04,1.897e-05,3.199e-04,5.638e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,RLB,3.01e-04,3.62e-07,0.000,3.49e-07,2.67e-05,4.70e-07,3.17e-06,2.40e-06,4.53e-06,5.99e-07,1.86e-06,1.50e-04,3.57e-05,1.62e-04,1.26e-04,2.232e-04,3.255e-05,3.330e-04,5.887e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,WLB,3.07e-04,6.91e-07,0.000,2.50e-08,2.97e-05,4.70e-07,1.43e-06,2.43e-06,3.47e-06,3.74e-07,3.41e-07,1.50e-04,4.17e-05,1.68e-04,1.26e-04,2.383e-04,2.964e-05,3.333e-04,6.012e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,VMV,3.03e-04,6.40e-07,0.000,2.50e-08,2.93e-05,4.70e-07,1.43e-06,2.56e-06,2.49e-06,3.71e-07,3.06e-07,1.50e-04,3.93e-05,1.63e-04,1.26e-04,2.363e-04,2.667e-05,3.295e-04,5.924e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,SHIFT,3.40e-04,6.26e-07,0.000,8.57e-08,3.55e-05,4.32e-06,2.35e-06,2.64e-06,3.67e-06,1.08e-06,1.12e-06,1.50e-04,4.13e-05,1.91e-04,1.26e-04,2.633e-04,4.471e-05,3.491e-04,6.572e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,ADD,3.40e-04,6.79e-07,0.000,2.50e-08,3.57e-05,4.53e-06,1.43e-06,2.64e-06,4.20e-06,1.63e-06,6.63e-07,1.50e-04,4.16e-05,1.92e-04,1.26e-04,2.638e-04,4.426e-05,3.499e-04,6.580e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,MUL,3.49e-04,1.81e-07,0.000,1.71e-07,2.48e-05,4.43e-06,5.35e-06,2.47e-06,1.74e-06,3.54e-07,1.06e-06,2.26e-04,2.41e-05,1.76e-04,1.33e-04,2.443e-04,5.858e-05,3.553e-04,6.582e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,PACK,3.54e-04,1.18e-06,0.000,3.62e-07,3.68e-05,4.70e-07,2.35e-05,2.64e-06,5.07e-06,5.81e-07,1.89e-06,1.50e-04,4.04e-05,1.93e-04,1.35e-04,2.715e-04,5.994e-05,3.501e-04,6.815e-04
base,7,32,4096,768,base_S7_IB32_VWR4096_WORD768,EXIT,2.62e-04,7.48e-08,0.000,2.50e-08,1.21e-05,4.70e-07,1.43e-06,2.52e-06,5.24e-07,9.38e-08,1.67e-07,1.50e-04,3.26e-05,1.38e-04,1.26e-04,2.084e-04,3.960e-06,3.137e-04,5.261e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,IDLE,2.19e-04,7.48e-08,0.000,2.49e-08,1.20e-05,4.70e-07,1.79e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.46e-04,1.70e-05,1.34e-04,1.26e-04,1.690e-04,1.201e-07,3.102e-04,4.793e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,WRF_CSDLEN_LOOP,2.35e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.79e-06,4.68e-06,5.35e-07,1.25e-07,1.92e-07,1.50e-04,2.67e-05,1.34e-04,1.26e-04,1.810e-04,3.386e-06,3.105e-04,4.949e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,WRF_IB,2.60e-04,7.48e-08,0.000,2.49e-08,1.34e-05,4.70e-07,1.79e-06,4.10e-05,5.35e-07,1.25e-07,1.92e-07,1.46e-04,1.70e-05,3.73e-04,2.21e-04,4.572e-04,4.000e-05,3.572e-04,8.544e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,WRF_CSD,2.37e-04,7.48e-08,0.000,2.49e-08,1.32e-05,4.70e-07,1.79e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.47e-04,1.70e-05,2.10e-04,2.30e-04,3.311e-04,2.207e-05,3.227e-04,6.759e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,NOP,2.85e-04,2.41e-07,0.000,2.50e-08,2.69e-05,4.70e-07,1.79e-06,2.52e-06,1.22e-06,2.03e-07,2.47e-07,1.46e-04,4.06e-05,1.46e-04,1.26e-04,2.213e-04,1.881e-05,3.166e-04,5.567e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,RLB,2.98e-04,3.62e-07,0.000,3.56e-07,2.69e-05,4.70e-07,4.94e-06,2.40e-06,4.52e-06,5.98e-07,1.77e-06,1.46e-04,3.57e-05,1.58e-04,1.26e-04,2.202e-04,3.283e-05,3.295e-04,5.825e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,WLB,3.00e-04,5.96e-07,0.000,2.50e-08,2.70e-05,4.70e-07,1.79e-06,2.43e-06,2.98e-06,3.32e-07,3.20e-07,1.46e-04,4.17e-05,1.65e-04,1.26e-04,2.326e-04,2.782e-05,3.300e-04,5.904e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,VMV,2.92e-04,5.16e-07,0.000,2.50e-08,2.50e-05,4.70e-07,1.79e-06,2.55e-06,2.17e-06,3.31e-07,2.93e-07,1.46e-04,3.91e-05,1.56e-04,1.26e-04,2.269e-04,2.320e-05,3.234e-04,5.735e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,SHIFT,3.28e-04,6.03e-07,0.000,1.08e-07,3.36e-05,4.04e-06,2.17e-06,2.62e-06,3.65e-06,1.11e-06,1.15e-06,1.47e-04,4.09e-05,1.80e-04,1.26e-04,2.531e-04,4.041e-05,3.408e-04,6.343e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,ADD,3.26e-04,6.89e-07,0.000,2.50e-08,3.28e-05,4.21e-06,1.79e-06,2.62e-06,4.26e-06,1.58e-06,6.35e-07,1.47e-04,3.98e-05,1.81e-04,1.26e-04,2.525e-04,3.941e-05,3.416e-04,6.335e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,MUL,3.43e-04,1.81e-07,0.000,1.60e-07,2.47e-05,3.71e-06,5.34e-06,2.44e-06,1.71e-06,3.50e-07,1.00e-06,2.23e-04,2.41e-05,1.68e-04,1.33e-04,2.396e-04,5.774e-05,3.465e-04,6.439e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,PACK,3.48e-04,1.18e-06,0.000,3.69e-07,3.82e-05,4.70e-07,2.31e-05,2.63e-06,4.96e-06,5.56e-07,1.85e-06,1.46e-04,3.94e-05,1.87e-04,1.35e-04,2.672e-04,5.851e-05,3.450e-04,6.707e-04
base,7,32,4096,1536,base_S7_IB32_VWR4096_WORD1536,EXIT,2.58e-04,7.48e-08,0.000,2.50e-08,1.23e-05,4.70e-07,1.79e-06,2.52e-06,5.24e-07,9.38e-08,1.67e-07,1.46e-04,3.26e-05,1.34e-04,1.26e-04,2.042e-04,3.865e-06,3.103e-04,5.184e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,IDLE,2.30e-04,7.48e-08,0.000,2.49e-08,1.23e-05,4.70e-07,1.36e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.57e-04,1.71e-05,1.56e-04,1.26e-04,1.774e-04,1.213e-07,3.347e-04,5.123e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,WRF_CSDLEN_LOOP,2.46e-04,7.48e-08,0.000,2.49e-08,1.23e-05,4.70e-07,1.36e-06,4.70e-06,5.35e-07,1.25e-07,1.92e-07,1.61e-04,2.68e-05,1.56e-04,1.26e-04,1.893e-04,3.317e-06,3.350e-04,5.276e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,WRF_IB,2.86e-04,7.48e-08,0.000,2.49e-08,1.37e-05,4.70e-07,1.36e-06,5.55e-05,5.35e-07,1.25e-07,1.92e-07,1.57e-04,1.71e-05,4.84e-04,2.56e-04,5.728e-04,5.415e-05,3.999e-04,1.027e-03
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,WRF_CSD,2.48e-04,7.48e-08,0.000,2.49e-08,1.35e-05,4.70e-07,1.36e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.57e-04,1.71e-05,2.31e-04,2.30e-04,3.396e-04,2.208e-05,3.470e-04,7.087e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,NOP,2.96e-04,2.25e-07,0.000,2.50e-08,2.45e-05,4.70e-07,1.36e-06,2.52e-06,1.12e-06,1.90e-07,2.38e-07,1.57e-04,3.92e-05,1.69e-04,1.26e-04,2.317e-04,1.858e-05,3.407e-04,5.910e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,RLB,3.12e-04,3.62e-07,0.000,3.64e-07,2.73e-05,4.70e-07,3.02e-06,2.40e-06,4.53e-06,6.00e-07,1.78e-06,1.57e-04,3.57e-05,1.81e-04,1.26e-04,2.309e-04,3.374e-05,3.540e-04,6.186e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,WLB,3.15e-04,6.33e-07,0.000,2.50e-08,2.85e-05,4.70e-07,1.36e-06,2.43e-06,3.19e-06,3.49e-07,3.38e-07,1.57e-04,3.92e-05,1.88e-04,1.26e-04,2.452e-04,2.912e-05,3.543e-04,6.286e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,VMV,3.19e-04,5.51e-07,0.000,2.50e-08,3.12e-05,4.70e-07,1.36e-06,2.57e-06,2.11e-06,3.18e-07,2.83e-07,1.57e-04,4.06e-05,1.89e-04,1.26e-04,2.495e-04,2.962e-05,3.548e-04,6.339e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,SHIFT,3.56e-04,5.70e-07,0.000,1.52e-07,3.73e-05,4.31e-06,2.27e-06,2.66e-06,3.50e-06,1.12e-06,1.18e-06,1.57e-04,4.02e-05,2.23e-04,1.26e-04,2.792e-04,4.831e-05,3.785e-04,7.061e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,ADD,3.61e-04,8.30e-07,0.000,2.50e-08,3.90e-05,4.37e-06,1.36e-06,2.67e-06,4.60e-06,1.74e-06,6.75e-07,1.57e-04,4.22e-05,2.24e-04,1.26e-04,2.824e-04,4.998e-05,3.793e-04,7.117e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,MUL,3.60e-04,1.70e-07,0.000,1.81e-07,2.52e-05,3.76e-06,5.74e-06,2.49e-06,1.72e-06,3.67e-07,1.06e-06,2.34e-04,2.42e-05,2.04e-04,1.33e-04,2.514e-04,6.092e-05,3.846e-04,6.970e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,PACK,3.69e-04,1.19e-06,0.000,3.77e-07,4.02e-05,4.70e-07,2.30e-05,2.63e-06,4.95e-06,5.65e-07,1.88e-06,1.57e-04,4.18e-05,2.17e-04,1.34e-04,2.838e-04,6.256e-05,3.735e-04,7.198e-04
base,7,32,8192,192,base_S7_IB32_VWR8192_WORD192,EXIT,2.74e-04,7.48e-08,0.000,2.50e-08,1.23e-05,4.70e-07,1.36e-06,2.52e-06,5.24e-07,9.38e-08,1.67e-07,1.57e-04,3.26e-05,1.56e-04,1.26e-04,2.169e-04,4.335e-06,3.347e-04,5.559e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,IDLE,2.27e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.35e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.54e-04,1.70e-05,1.49e-04,1.26e-04,1.757e-04,1.198e-07,3.257e-04,5.015e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,WRF_CSDLEN_LOOP,2.43e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.35e-06,4.70e-06,5.35e-07,1.25e-07,1.92e-07,1.58e-04,2.67e-05,1.48e-04,1.26e-04,1.877e-04,3.384e-06,3.260e-04,5.171e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,WRF_IB,2.80e-04,7.48e-08,0.000,2.49e-08,1.34e-05,4.70e-07,1.35e-06,5.25e-05,5.35e-07,1.25e-07,1.92e-07,1.54e-04,1.70e-05,4.58e-04,2.49e-04,5.481e-04,5.115e-05,3.872e-04,9.865e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,WRF_CSD,2.44e-04,7.48e-08,0.000,2.49e-08,1.33e-05,4.70e-07,1.35e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.54e-04,1.70e-05,2.24e-04,2.29e-04,3.379e-04,2.208e-05,3.379e-04,6.978e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,NOP,2.96e-04,2.81e-07,0.000,2.50e-08,2.74e-05,4.70e-07,1.35e-06,2.52e-06,1.41e-06,2.30e-07,2.65e-07,1.54e-04,3.91e-05,1.61e-04,1.26e-04,2.310e-04,2.002e-05,3.319e-04,5.829e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,RLB,3.08e-04,3.29e-07,0.000,3.64e-07,2.74e-05,4.70e-07,3.02e-06,2.40e-06,4.96e-06,6.00e-07,1.78e-06,1.54e-04,3.57e-05,1.73e-04,1.26e-04,2.285e-04,3.382e-05,3.449e-04,6.073e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,WLB,3.14e-04,6.91e-07,0.000,2.50e-08,2.94e-05,4.70e-07,1.35e-06,2.43e-06,3.49e-06,3.75e-07,3.41e-07,1.54e-04,4.23e-05,1.79e-04,1.26e-04,2.444e-04,3.009e-05,3.452e-04,6.197e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,VMV,3.14e-04,6.57e-07,0.000,2.50e-08,3.07e-05,4.70e-07,1.35e-06,2.57e-06,2.60e-06,3.86e-07,3.16e-07,1.54e-04,3.93e-05,1.78e-04,1.26e-04,2.449e-04,2.893e-05,3.444e-04,6.182e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,SHIFT,3.49e-04,6.26e-07,0.000,8.85e-08,3.63e-05,4.26e-06,1.70e-06,2.65e-06,3.65e-06,1.06e-06,1.10e-06,1.54e-04,4.13e-05,2.10e-04,1.26e-04,2.723e-04,4.595e-05,3.666e-04,6.849e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,ADD,3.48e-04,5.92e-07,0.000,2.50e-08,3.58e-05,4.10e-06,1.35e-06,2.66e-06,4.01e-06,1.69e-06,6.85e-07,1.54e-04,4.10e-05,2.11e-04,1.26e-04,2.722e-04,4.555e-05,3.674e-04,6.851e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,MUL,3.56e-04,1.67e-07,0.000,1.53e-07,2.50e-05,3.72e-06,6.07e-06,2.48e-06,1.74e-06,3.71e-07,1.08e-06,2.31e-04,2.41e-05,1.93e-04,1.33e-04,2.496e-04,5.959e-05,3.727e-04,6.819e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,PACK,3.61e-04,1.20e-06,0.000,3.77e-07,3.79e-05,4.70e-07,2.25e-05,2.64e-06,5.06e-06,5.69e-07,1.80e-06,1.54e-04,4.04e-05,2.07e-04,1.35e-04,2.777e-04,6.138e-05,3.637e-04,7.028e-04
base,7,32,8192,384,base_S7_IB32_VWR8192_WORD384,EXIT,2.70e-04,7.48e-08,0.000,2.50e-08,1.22e-05,4.70e-07,1.35e-06,2.52e-06,5.24e-07,9.38e-08,1.67e-07,1.54e-04,3.26e-05,1.48e-04,1.26e-04,2.143e-04,4.240e-06,3.256e-04,5.442e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,IDLE,2.24e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.43e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.51e-04,1.70e-05,1.41e-04,1.26e-04,1.740e-04,1.187e-07,3.175e-04,4.917e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,WRF_CSDLEN_LOOP,2.40e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.43e-06,4.68e-06,5.35e-07,1.25e-07,1.92e-07,1.56e-04,2.67e-05,1.41e-04,1.26e-04,1.862e-04,3.431e-06,3.178e-04,5.075e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,WRF_IB,2.75e-04,7.48e-08,0.000,2.49e-08,1.34e-05,4.70e-07,1.43e-06,5.01e-05,5.35e-07,1.25e-07,1.92e-07,1.52e-04,1.70e-05,4.33e-04,2.45e-04,5.276e-04,4.861e-05,3.757e-04,9.519e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,WRF_CSD,2.42e-04,7.48e-08,0.000,2.49e-08,1.33e-05,4.70e-07,1.43e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.52e-04,1.70e-05,2.17e-04,2.30e-04,3.362e-04,2.207e-05,3.299e-04,6.882e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,NOP,2.93e-04,2.81e-07,0.000,2.50e-08,2.84e-05,4.70e-07,1.43e-06,2.52e-06,1.41e-06,2.30e-07,2.65e-07,1.52e-04,3.91e-05,1.53e-04,1.26e-04,2.282e-04,1.996e-05,3.238e-04,5.719e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,RLB,3.02e-04,3.62e-07,0.000,3.49e-07,2.65e-05,4.70e-07,3.17e-06,2.40e-06,4.52e-06,5.98e-07,1.77e-06,1.52e-04,3.55e-05,1.66e-04,1.26e-04,2.249e-04,3.211e-05,3.368e-04,5.938e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,WLB,3.11e-04,6.91e-07,0.000,2.50e-08,3.05e-05,4.70e-07,1.43e-06,2.43e-06,3.48e-06,3.74e-07,3.41e-07,1.52e-04,4.17e-05,1.72e-04,1.26e-04,2.413e-04,3.046e-05,3.371e-04,6.089e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,VMV,3.08e-04,6.57e-07,0.000,2.50e-08,3.05e-05,4.70e-07,1.43e-06,2.57e-06,2.67e-06,3.84e-07,3.16e-07,1.52e-04,3.93e-05,1.69e-04,1.26e-04,2.405e-04,2.803e-05,3.348e-04,6.033e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,SHIFT,3.44e-04,6.26e-07,0.000,8.57e-08,3.58e-05,4.32e-06,1.51e-06,2.65e-06,3.67e-06,1.09e-06,1.07e-06,1.52e-04,4.13e-05,1.98e-04,1.26e-04,2.674e-04,4.496e-05,3.556e-04,6.679e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,ADD,3.45e-04,6.79e-07,0.000,2.50e-08,3.57e-05,4.54e-06,1.44e-06,2.65e-06,4.36e-06,1.64e-06,6.70e-07,1.52e-04,4.21e-05,1.99e-04,1.26e-04,2.688e-04,4.551e-05,3.563e-04,6.706e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,MUL,3.51e-04,1.84e-07,0.000,1.34e-07,2.50e-05,3.91e-06,5.31e-06,2.48e-06,1.75e-06,3.49e-07,9.80e-07,2.28e-04,2.41e-05,1.83e-04,1.33e-04,2.455e-04,5.884e-05,3.619e-04,6.663e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,PACK,3.59e-04,1.18e-06,0.000,3.62e-07,3.77e-05,4.70e-07,2.45e-05,2.64e-06,5.08e-06,5.81e-07,1.81e-06,1.52e-04,4.04e-05,1.99e-04,1.35e-04,2.761e-04,6.158e-05,3.554e-04,6.930e-04
base,7,32,8192,768,base_S7_IB32_VWR8192_WORD768,EXIT,2.65e-04,7.48e-08,0.000,2.50e-08,1.22e-05,4.70e-07,1.43e-06,2.52e-06,5.24e-07,9.38e-08,1.67e-07,1.51e-04,3.26e-05,1.41e-04,1.26e-04,2.110e-04,4.055e-06,3.176e-04,5.326e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,IDLE,2.23e-04,7.48e-08,0.000,2.49e-08,1.20e-05,4.70e-07,1.79e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.50e-04,1.70e-05,1.41e-04,1.26e-04,1.723e-04,1.187e-07,3.178e-04,4.902e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,WRF_CSDLEN_LOOP,2.39e-04,7.48e-08,0.000,2.49e-08,1.20e-05,4.70e-07,1.79e-06,4.70e-06,5.35e-07,1.25e-07,1.92e-07,1.54e-04,2.67e-05,1.41e-04,1.26e-04,1.844e-04,3.384e-06,3.181e-04,5.058e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,WRF_IB,2.70e-04,7.48e-08,0.000,2.49e-08,1.33e-05,4.70e-07,1.79e-06,4.71e-05,5.35e-07,1.25e-07,1.92e-07,1.50e-04,1.70e-05,4.16e-04,2.37e-04,5.049e-04,4.583e-05,3.722e-04,9.229e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,WRF_CSD,2.41e-04,7.48e-08,0.000,2.49e-08,1.32e-05,4.70e-07,1.79e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.50e-04,1.70e-05,2.17e-04,2.29e-04,3.345e-04,2.208e-05,3.302e-04,6.868e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,NOP,2.91e-04,2.81e-07,0.000,2.50e-08,2.84e-05,4.70e-07,1.79e-06,2.52e-06,1.41e-06,2.30e-07,2.65e-07,1.50e-04,3.91e-05,1.53e-04,1.26e-04,2.266e-04,1.992e-05,3.240e-04,5.705e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,RLB,3.03e-04,3.62e-07,0.000,3.56e-07,2.67e-05,4.70e-07,4.95e-06,2.40e-06,4.53e-06,5.99e-07,1.86e-06,1.50e-04,3.57e-05,1.66e-04,1.26e-04,2.241e-04,3.343e-05,3.371e-04,5.946e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,WLB,3.09e-04,6.91e-07,0.000,2.50e-08,2.99e-05,4.70e-07,1.79e-06,2.43e-06,3.49e-06,3.74e-07,3.41e-07,1.50e-04,4.17e-05,1.72e-04,1.26e-04,2.394e-04,3.007e-05,3.374e-04,6.068e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,VMV,3.06e-04,6.57e-07,0.000,2.50e-08,2.99e-05,4.70e-07,1.79e-06,2.56e-06,2.59e-06,3.85e-07,3.16e-07,1.50e-04,3.93e-05,1.67e-04,1.26e-04,2.376e-04,2.736e-05,3.336e-04,5.985e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,SHIFT,3.42e-04,6.26e-07,0.000,8.70e-08,3.53e-05,4.48e-06,2.84e-06,2.63e-06,3.67e-06,1.08e-06,1.12e-06,1.50e-04,4.13e-05,1.94e-04,1.26e-04,2.643e-04,4.507e-05,3.532e-04,6.626e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,ADD,3.43e-04,7.31e-07,0.000,2.50e-08,3.65e-05,4.53e-06,1.79e-06,2.64e-06,4.35e-06,1.64e-06,6.72e-07,1.50e-04,4.21e-05,1.95e-04,1.26e-04,2.657e-04,4.550e-05,3.540e-04,6.652e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,MUL,3.50e-04,1.81e-07,0.000,1.70e-07,2.49e-05,4.42e-06,6.40e-06,2.46e-06,1.75e-06,3.54e-07,1.05e-06,2.25e-04,2.41e-05,1.80e-04,1.33e-04,2.449e-04,5.885e-05,3.594e-04,6.632e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,PACK,3.58e-04,1.20e-06,0.000,3.69e-07,3.69e-05,4.70e-07,2.44e-05,2.64e-06,5.10e-06,5.81e-07,1.91e-06,1.50e-04,4.02e-05,1.98e-04,1.34e-04,2.749e-04,6.028e-05,3.554e-04,6.905e-04
base,7,32,8192,1536,base_S7_IB32_VWR8192_WORD1536,EXIT,2.64e-04,7.48e-08,0.000,2.50e-08,1.21e-05,4.70e-07,1.79e-06,2.52e-06,5.24e-07,9.38e-08,1.67e-07,1.50e-04,3.26e-05,1.41e-04,1.26e-04,2.093e-04,4.053e-06,3.178e-04,5.311e-04
base,7,32,16384,192,base_S7_IB32_VWR16384_WORD192,IDLE,2.31e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.36e-06,2.54e-06,5.35e-07,1.25e-07,1.92e-07,1.58e-04,1.71e-05,1.63e-04,1.26e-04,1.791e-04,1.226e-07,3.412e-04,5.204e-04
base,7,32,16384,192,base_S7_IB32_VWR16384_WORD192,WRF_CSDLEN_LOOP,2.47e-04,7.48e-08,0.000,2.49e-08,1.21e-05,4.70e-07,1.36e-06,4.68e-06,5.35e-07,1.25e-07,1.92e-07,1.62e-04,2.68e-05,1.63e-04,1.26e-04,1.911e-04,3.384e-06,3.414e-04,5.360e-04
base,7,32,16384,192,base_S7_IB32_VWR16384_WORD192,WRF_IB,2.90e-04,7.48e-08,0.000,2.49e-08,1.34e-05,4.70e-07,1.36e-06,5.85e-05,5.35e-07,1.25e-07,1.92e-07,1.58e-04,1.71e-05,5.10e-04,2.64e-04,5.972e-04,5.712e-05,4.100e-04,1.064e-03
base,7,32,16384,192,base_S7_IB32_VWR16384_WORD192,WRF_CSD,2.49e-04,7.48e-08,0.000,2.49e-08,1.33e-05,4.70e-07,1.36e-06,1.87e-05,5.35e-07,1.25e-07,1.92e-07,1.58e-04,1.71e-05,2.39e-04,2.29e-04,3.412e-04,2.208e-05,3.536e-04,7.169e-04
base,7,32,16384,192,base_S7_IB32_VWR16384_WORD192,NOP,3.04e-04,2.81e-07,0.000,2.50e-08,2.89e-05,4.70e-07,1.36e-06,2.52e-06,1.41e-06,2.30e-07,2.65e-07,1.58e-04,3.92e-05,1.77e-04,1.26e-04,2.376e-04,2.147e-05,3.475e-04,6.065e-04
